composition,Mean VEC,electronegativity_difference,Atomic_Radius_Difference,Calculated_Youngs_Modulus,Mixing_Enthalpy,Mixing_Entropy,Work_Function,Shear_Modulus_G,MOd_Missmatch,shear_modulus_difference,melting_Temp,cohesive_enrg,Ionization_enrg,Pauling_electronegativity
Al0.53 Cr0.27 Fe0.42 Nb1.11 Ni0.13 Si0.46,5.226,0.2085,18.8836,134.5274,-36.2706,13.3536,2.0479,52.4346,-0.1008,0.262,2019.5613,5.4093,7.0423,0.0322
Al0.93 Cu1.3 Mg0.85 Ni1.41 Ta0.14,7.3758,0.4144,17.5616,125.3542,-6.8443,12.1228,1.6551,47.1963,-0.1163,0.2346,1363.9002,3.5291,7.3406,0.1097
Co1 Cr1 Nb1 Ti1 V1,5.8,0.218,11.0,167.4,-14.08,13.3809,1.44,65.8,-0.0773,0.177,2164.4,5.244,6.9962,0.0269
Co1 Cr1 Fe1 Ni1 Ti1,7.4,0.224,17.0,203.0,-16.32,13.3809,1.438,78.4,-0.0396,0.0831,1885.6,4.412,7.4036,0.04
Ag1 Co1 Fe1 Nb1 Pd1,8.6,0.312,11.2,145.8,-7.04,13.3809,1.074,53.8,-0.0699,0.149,1878.396,4.616,7.691,0.0742
Hf1 Li1 Nb1 Ni1 Ti1 W1,6.3333,0.745,20.5,164.5,4.6667,14.8967,1.62,58.8667,-0.2864,0.7312,2178.9417,5.5683,6.8847,0.3834
Al1.89 Cr1.44 Mn0.81 Ni0.85 Ti1.75,5.2641,0.2769,17.4955,158.3739,-24.9766,12.9047,2.0998,57.1598,-0.1404,0.346,1631.9582,3.9883,6.7541,0.0261
Al1 Cr1 Cu1 Fe1 Nb1,6.6,0.18,16.8,159.0,-5.76,13.3809,1.46,61.92,-0.1215,0.2737,1806.448,4.56,7.028,0.0298
Al1 Co1 Fe1 Mo1 Ni1 W1 Zn1 Zr1,7.75,0.5187,26.875,204.0,-16.5625,17.2885,1.575,77.0375,-0.1391,0.3075,1956.5188,5.0088,7.55,0.1821
B1 Co1 Cr1 Fe1 Ni1 Ta1,7.5,0.3033,37.3333,255.8333,-27.6667,14.8967,1.4517,97.8333,-0.0565,0.132,2187.6667,5.1733,7.7297,0.0622
Al0.55 Co0.74 Cu1.94 Mo0.68 Si0.95 Ta1.58 Ti0.47 V0.15,7.7025,0.3789,20.0992,161.2365,-21.3457,15.653,1.9315,60.6469,-0.0642,0.1507,2048.9592,5.2092,7.5596,0.0899
Fe1.87 Pd1.39 Re1.64,9.5714,0.2416,7.3694,269.8122,0.5465,9.0737,1.1416,103.351,-0.1262,0.2844,2367.4121,5.381,8.018,0.048
Hf1 Mo1 Ni1,8.0,0.49,18.3333,224.3333,-23.5556,9.1339,1.4367,75.3333,-0.1063,0.2379,2376.6667,5.76,7.188,0.2609
Cr1.19 Li0.57,4.3807,0.4598,16.2273,192.2045,30.6566,5.2357,0.9524,79.1159,-0.2289,0.4295,1620.898,3.3001,6.3217,0.2025
Cr1.84 Fe0.54 Hf1.44 Ni1.81 Si1.58,7.1151,0.4162,29.6879,189.4202,-46.3924,12.8367,1.9467,70.8599,-0.0921,0.1935,1995.9667,4.6984,7.386,0.1064
Co0.69 Ti1.92,5.3218,0.2501,16.1839,140.5862,-21.7815,4.802,2.5013,52.1954,-0.0274,0.0686,1895.2644,4.7284,7.1064,0.045
Fe0.45 Hf1.86 Mo0.43 Si1.94 V1.97,5.815,0.4957,24.9353,144.9624,-50.2678,11.9344,2.2384,52.2962,-0.0673,0.1864,2149.5759,5.3382,7.279,0.1428
C1 Cr1 Fe1 Nb1 V1,5.6,0.696,50.8,354.6,-52.64,13.3809,1.622,92.4,-0.1137,0.2542,2567.8,5.726,7.8868,0.2549
Mn0.54 Sc1.05 V1.5 Y0.28,4.5312,0.279,32.7418,117.0742,4.5653,10.1742,1.8116,43.4214,-0.0419,0.0842,1929.727,4.2208,6.755,0.0411
Au1.88 Co1.31 Cr1.13 Fe1.24 Re1.81,7.8426,0.5289,10.578,249.0326,6.7426,13.2005,1.0997,95.3623,-0.1497,0.3334,2143.8386,5.0385,8.0566,0.2037
Mn1.78 Ni0.2 Ti0.53 V1.52,6.0,0.3133,14.8784,160.9132,-5.8849,9.5156,1.2593,46.5161,-0.0276,0.0666,1835.3127,4.1507,7.105,0.0134
Fe1 Zn1,10.0,0.09,4.0,159.5,4.0,5.7628,1.545,62.5,-0.0428,0.0973,1251.84,2.815,8.648,0.0162
Al1 Co1 Cr1 Hf1 N1 Nb1 Si1 Zr1,5.5,1.25,61.5,163.5,-96.625,17.2885,2.3625,50.5375,-0.1209,0.3108,1751.9525,5.1862,7.9421,0.5299
Al1.43 Cr0.41 Mn1.46 Nb0.2 Ti0.25 W1.4,6.4019,0.5629,17.4485,219.2175,-9.1986,12.8178,1.7938,73.759,-0.2474,0.6155,2068.8645,5.036,7.0401,0.2388
Mo0.7 Ti1.28 W1.43,6.9267,0.4711,4.9971,283.434,-5.0108,8.7902,2.0224,108.6657,-0.1037,0.2324,2872.5894,6.9528,7.3181,0.2778
Co1 Ni1 V1 W1 Zr1,7.6,0.538,23.6,208.4,-22.4,13.3809,1.202,80.4,-0.12,0.289,2300.4,5.914,7.353,0.2318
Co1.18 Mn1.31 Pd1.88 V1.79 Y0.43,7.4097,0.5747,42.7056,150.2458,-26.051,12.6296,1.0335,51.0971,-0.0327,0.0706,1850.38,4.2096,7.5054,0.178
Co0.77 Fe0.63 Ni0.23 Ti0.6,7.4753,0.2375,15.9013,183.6143,-20.0824,10.9063,1.5872,68.7399,-0.0231,0.0494,1822.5695,4.4878,7.5788,0.0428
Co0.72 Fe0.42 Mo0.28 N0.27 Nb1.97,6.2077,1.2095,68.0628,169.1448,-53.5232,10.7305,1.4977,56.7486,-0.0705,0.2033,2262.0247,6.3118,7.7105,0.2906
Mn1 Mo1 Ni1 Ta1,8.0,0.38,12.0,228.25,-12.0,11.5257,1.2925,75.0,-0.0749,0.1628,2358.25,5.57,7.5158,0.1463
Al1 Cu1 Mo1 Ni1 Ti1,6.8,0.336,15.8,169.0,-14.4,13.3809,1.918,62.92,-0.1169,0.2699,1771.248,4.592,7.0558,0.101
Au1.09 Cu0.88 Fe1.38 Nb0.37,7.5323,0.5083,12.2634,142.3253,-0.2632,10.7926,1.0504,53.536,-0.0888,0.1875,1658.3891,4.2797,8.1346,0.2269
Cr1 Cu1 Fe1 Mn1 Mo1 Ni1 Pd1 Ti1,7.75,0.3563,14.75,198.0,-11.5,17.2885,1.32,70.5375,-0.0902,0.1947,1907.6025,4.3488,7.4666,0.1117
Al0.64 Cr0.53 Li1.57 Mn0.55 W1.67 Zr1.95,5.068,0.7918,26.136,171.9986,11.5035,13.7655,1.4308,63.2194,-0.3786,0.9396,1971.1652,5.2221,6.6629,0.494
Fe0.94 Ni1.83 Ti1.49 V1.06,6.9699,0.1964,14.2124,164.0714,-23.7061,11.2342,1.6125,64.312,-0.026,0.0552,1892.9793,4.6999,7.2807,0.0499
Co0.1 Fe0.31 Ta1.41,8.8297,0.3029,16.4396,191.522,-12.0414,5.476,1.4518,71.544,-0.0021,0.0047,2954.456,7.2455,7.8915,0.0411
Cu0.28 Nb0.97 Si1.22 Ta1.07 Ti0.74 V0.67,5.8081,0.2356,23.8808,129.1737,-39.8861,14.2414,2.3434,50.9705,-0.0221,0.0461,2328.2961,6.0166,7.4098,0.0519
Co1.47 Mn1.63 Ti0.49,7.4095,0.1962,18.0891,191.312,-11.961,8.2802,1.3121,52.6072,-0.0572,0.1287,1678.5571,3.7853,7.5343,0.0534
Fe1.33 V0.97,6.7348,0.1157,4.6261,175.9957,-6.8285,5.6606,0.9867,71.4565,-0.0142,0.0299,1967.887,4.7144,7.4145,0.0195
Fe0.81 Mo0.72 Nb0.78 Ni1.22 V0.92,7.0787,0.3363,13.2854,191.3371,-15.6455,13.2249,1.1515,73.6225,-0.0545,0.1184,2205.2921,5.5244,7.2609,0.0738
Fe0.25 Ni1.96 Ti0.96 V0.44 W0.73,8.0507,0.4891,14.2604,210.2442,-20.5722,11.5483,1.5864,81.6382,-0.0869,0.2174,2156.8802,5.3599,7.4225,0.1423
Al1 B1 Co1 Fe1 Pd1 Ta1 Ti1 V1,6.375,0.4213,42.5,186.375,-39.625,17.2885,1.8162,70.9125,-0.1298,0.3379,2012.94,4.9888,7.4835,0.111
Al1 Co1 Cr1 Mn1 Ni1 Ti1 W1,7.0,0.5729,17.2857,211.8571,-16.7347,16.1783,1.6614,76.0429,-0.1516,0.3439,1966.3529,4.7086,7.2,0.1476
Al0.93 Cr0.58 Sc1.38 Ta0.27 Zr1.24,4.0455,0.2075,28.6727,112.6864,-21.6509,12.3667,2.3683,43.3475,-0.1489,0.4648,1855.1971,4.6135,6.5691,0.0359
Ba1 Be1,2.0,0.34,74.0,150.0,-10.0,5.7628,2.015,68.5,-0.3299,0.8593,1280.0,2.39,7.267,0.2312
Au1 Co1 Pd1 W1,8.5,0.365,11.75,204.75,2.75,11.5257,1.105,76.75,-0.1841,0.4519,2157.095,5.245,8.327,0.1178
Co1.72 Cu1.01 Fe1.02 Mo1.22 Pd0.86,8.6913,0.2195,8.3105,207.7942,-0.0464,13.1234,1.0933,76.4431,-0.0564,0.119,1949.3603,4.6496,7.7614,0.0438
Fe1 Mn1 Ni1 Ta1 Ti1 Zn1,8.3333,0.2467,13.0,169.8333,-16.2222,14.8967,1.65,58.1667,-0.0471,0.0971,1830.28,4.3233,7.848,0.0478
Cr1 Cu1 Fe1 Ni1 Si1 V1,7.3333,0.175,14.1667,175.8333,-20.2222,14.8967,1.5917,70.8833,-0.0505,0.1118,1824.4617,4.375,7.4887,0.0271
Co0.38 Fe0.85 Ni1.19 Zn1.45,10.2119,0.1421,5.7158,168.8295,-4.1933,10.7355,1.4528,64.8553,-0.0295,0.0694,1362.247,3.2422,8.3784,0.0258
Cr1.49 Fe0.12 Pd1.41 Si0.75 Ti1.92,6.0949,0.4115,23.8541,160.7399,-53.1231,11.7366,2.1192,63.7891,-0.0981,0.2359,1939.3744,4.3747,7.383,0.1376
Au1 W1,7.5,0.09,2.5,244.5,12.0,5.7628,1.215,94.0,-0.2014,0.508,2516.165,6.35,8.545,0.0162
Al1.82 Cr0.14 Cu1.09 Fe1.62 Nb1.48 W1.37,6.9614,0.525,15.3045,181.9747,-5.9434,13.7872,1.6371,69.9818,-0.1833,0.4715,2067.8264,5.4287,7.1598,0.149
Al1 Cu1 Fe1 Mg1 Mo1 Zr1,5.6667,0.47,24.0,146.5,-3.3333,14.8967,1.6583,54.4333,-0.1856,0.4359,1674.8733,4.3317,7.1655,0.1883
Al0.83 Cr1.85,5.0709,0.0345,6.903,214.2724,-8.5515,5.1452,1.5673,87.5295,-0.1144,0.2195,1793.9478,3.8708,6.5251,0.0011
Al1 Au1 Co1 Hf1 Ti1 Zr1,5.5,0.84,24.1667,118.5,-48.3333,14.8967,1.8867,39.2167,-0.0768,0.1889,1768.9667,4.825,7.23,0.3562
Al1 Co1 Li1 Nb1 Ti1,4.4,0.542,19.6,102.2,-4.64,13.3809,1.882,37.5,-0.1842,0.3816,1569.224,4.36,6.5692,0.1744
Cr1 Cu1 Fe1 Re1 Sn1 V1,7.5,0.1833,26.1667,210.1667,7.5556,14.8967,1.54,83.05,-0.1738,0.3904,1915.975,4.7033,7.3942,0.0313
Al1 Co1 Cr1 Cu1 Re1 W1,8.3333,0.475,11.1667,260.3333,0.7778,14.8967,1.465,100.6,-0.1512,0.3089,2232.2067,5.3567,7.3507,0.1174
Cu0.1 Fe0.28 Ni1.78 Pd1.09 Ta0.6 Zr1.27,8.3047,0.4453,21.1113,154.4824,-48.2656,12.7163,1.2382,57.4883,-0.0521,0.1079,2028.8733,5.2429,7.5842,0.2065
Fe1 Pd1,9.0,0.185,6.5,166.0,-4.0,5.7628,1.005,63.0,-0.0401,0.091,1819.525,4.085,8.1195,0.0685
Co0.86 Cr0.33 Fe1.51 Hf0.19 Mo0.74 Ni0.43 Ti1.47 V1.99,6.3684,0.4423,24.8059,182.5106,-14.1813,15.4903,1.447,70.6862,-0.0518,0.1172,2065.7114,4.9717,7.2127,0.0781
Cu0.16 Ni1.72 Ta0.16 Ti1.63 Zr0.3,7.0831,0.3673,22.7884,154.1159,-33.8268,9.8263,1.9628,58.2136,-0.041,0.0817,1893.7111,4.8755,7.2441,0.0864
Al0.83 Cr1.84 Fe0.54 Nb0.65 Ni1.05 Sn1.99 W0.76,6.1567,0.5169,24.3211,179.5705,-1.3078,15.227,2.0654,70.5469,-0.207,0.466,1720.513,4.6004,7.1401,0.0993
Ag1 Cr1 Mn1 Ni1 V1,7.8,0.194,13.4,177.6,6.08,13.3809,1.008,62.6,-0.1078,0.244,1768.986,3.944,7.2326,0.0478
B1 Cu1 Fe1 Mo1 Ni1 Ti1,7.0,0.3567,39.8333,239.3333,-20.2222,14.8967,1.7683,90.05,-0.1035,0.2346,2013.795,4.935,7.5822,0.0739
Co0.12 Nb1.57 Ni0.21 Ti1.74 W0.36,5.3975,0.693,20.02,145.4325,-9.0807,10.025,2.0567,54.785,-0.1122,0.4039,2400.02,6.2468,6.9684,0.1129
Al0.78 Cr1.88 Ni0.2 Ta0.77 W1.39,7.261,0.5285,14.0936,265.6633,-8.6697,11.8778,1.4952,105.3454,-0.1038,0.1893,2558.0591,5.9412,7.1564,0.2262
Al0.62 Au1.64 Cr1.03 Re1.75 Ti1.04 V1.83 Zr1.65,5.795,0.7641,22.4822,186.0795,-28.1863,15.7278,1.4812,72.7046,-0.2338,0.592,2154.3256,5.4288,7.3216,0.3013
Al1 Cr1 Cu1 N1 Ti1,5.8,1.09,52.2,179.0,-82.88,13.3809,2.562,54.72,-0.1259,0.3216,1295.078,4.138,8.3682,0.6234
Co0.46 Fe1.24 Mg1.14 Mo0.45 V1.52,5.5385,0.4808,10.8482,156.2765,10.3106,12.478,1.26,61.58,-0.1134,0.243,1815.4886,4.1971,7.3989,0.1288
Cr1 Fe1 Mn1 Sn1 V1,6.0,0.234,26.6,173.2,0.64,13.3809,1.578,61.4,-0.1453,0.3129,1639.616,3.95,7.2386,0.044
Mo0.64 Ti1.19,4.6995,0.4032,5.2022,190.4918,-3.6387,5.3815,2.4564,70.5792,-0.0958,0.2637,2274.9891,5.539,6.9228,0.1748
Ag1 Al1,7.0,0.16,13.5,76.5,-4.0,5.7628,2.01,28.15,-0.0021,0.0043,1084.2,3.155,6.781,0.0512
Cr1 Cu1 Fe1 Hf1 Nb1 Ni1 Ti1 V1,7.125,0.3712,22.5,164.125,-13.0625,17.2885,1.3925,61.2875,-0.0823,0.1843,2057.0962,5.0075,7.1491,0.0741
Cr1 Mg1 Ni1 V1,5.75,0.3175,12.25,163.0,4.0,11.5257,1.2475,66.25,-0.1348,0.2838,1753.5,3.84,7.1998,0.0908
Co1 Cr1 Nb1 V1 Zr1,5.8,0.29,21.4,163.0,-16.96,13.3809,1.132,63.6,-0.0955,0.2179,2201.8,5.58,6.9574,0.0615
Au1 Co1 Cu1 Mo1 Si1 Ti1,6.5,0.5533,21.3333,161.5,-28.3333,14.8967,1.995,60.2167,-0.1056,0.2517,1831.1833,4.6633,7.8185,0.1874
Co1 Cr1 Pd1 Ti1 V1 Zr1,6.3333,0.4933,21.1667,157.8333,-35.6667,14.8967,1.3883,61.3333,-0.0848,0.1989,2004.675,4.845,7.1988,0.1504
Cr0.83 Cu0.77 Ti1.5,6.2742,0.2385,9.8065,163.1194,-4.762,8.7298,1.9608,64.0777,-0.0909,0.2317,1860.1235,4.3114,7.0347,0.0425
Al0.89 Co0.36 Cr0.3 Ni0.56 Ta0.19 Zn0.99,8.1763,0.2091,18.8693,144.5289,-12.8008,13.6484,1.9128,55.6678,-0.0943,0.2337,1337.3257,3.3929,7.6816,0.0329
Co1 Cr1 Fe1 Mo1 Ni1 V1,7.3333,0.315,9.6667,226.0,-7.7778,14.8967,1.075,87.5,-0.0321,0.0666,2094.3333,4.89,7.3392,0.0618
Al1.12 Au1.99 Mo1.04 N1.45 Ni1.46 Zr1.29,5.576,0.8823,60.1461,170.5437,-86.1055,14.7004,2.0904,50.2414,-0.149,0.3929,1446.4887,4.8401,8.7705,0.6536
Ag1.06 Nb1.31 Si1.9 Ta1.3 V1.4,6.3859,0.2193,22.8967,121.9268,-31.387,13.2236,2.1074,48.835,-0.034,0.0697,2216.6465,5.7109,7.471,0.0578
Al1 Au1 Cr1 Cu1 Fe1,6.6,0.632,15.2,153.6,-3.36,13.3809,1.396,59.72,-0.146,0.3292,1523.914,3.806,7.5214,0.2224
Cu1 Fe1 Mo1 Ni1 Ti1,7.8,0.328,14.2,197.2,-6.4,13.3809,1.526,74.06,-0.062,0.1365,1946.754,4.776,7.439,0.0788
Al1 Fe1 Mn1 Ti1,5.5,0.1975,17.5,148.75,-21.25,11.5257,2.035,46.825,-0.0885,0.206,1551.1175,3.8525,7.0375,0.0274
Co0.52 Cr0.39 Nb0.75 Re0.3 Ti1.63,5.7354,0.2551,15.7047,173.8774,-17.5596,11.7563,2.0176,66.1476,-0.1255,0.3895,2237.7688,5.525,7.0474,0.0378
Al1 Co1 Fe1 Mo1 Ni1 Ta1,7.5,0.345,16.3333,200.8333,-18.4444,14.8967,1.535,74.7167,-0.0677,0.1338,2071.0783,5.2317,7.3997,0.0912
Re1 Si1 Ti1 V1 W1,6.8,0.494,22.6,245.0,-36.32,13.3809,2.256,97.4,-0.166,0.3703,2593.0,6.318,7.4938,0.1633
Al1.49 Cr1.78 Cu0.51 Mn0.58 Y1.74,4.9246,0.3681,38.2754,146.4623,-12.313,12.4105,1.7205,59.0426,-0.1617,0.3824,1635.248,3.8587,6.5629,0.0908
Cr1.86 Ti2.0 V1.46,4.9737,0.0667,10.2105,176.282,-5.2732,9.0628,1.7077,72.391,-0.0839,0.1914,2090.9737,4.714,6.7842,0.0056
Co1 Cr1 Cu1 Fe1 Nb1 W1,8.1667,0.4883,14.0,224.1667,-0.6667,14.8967,1.125,86.55,-0.1034,0.2298,2260.295,5.455,7.4832,0.1199
Al0.11 Fe0.16 Hf0.84 Ni0.86 Si1.18 W1.86,8.0339,0.6633,26.6926,244.5389,-39.5101,12.5057,2.1893,92.1144,-0.1757,0.3572,2564.2558,6.3766,7.6789,0.2739
Al1.44 N0.48 Ni1.74 Ti1.35 V1.06 Zr0.37,5.6366,1.2698,61.7966,142.8354,-64.7331,13.8899,2.2169,49.8978,-0.0672,0.1397,1568.7762,4.5813,7.4088,0.3133
Al1.68 Cr1.48 Mo0.25 Re1.92 Ta0.46 Ti0.46,6.8032,0.4403,15.76,262.504,-16.6113,13.0501,1.8512,102.0998,-0.171,0.3545,2330.5871,5.5268,6.9994,0.0555
Al1.51 Nb1.56 V0.52,4.1588,0.0214,14.4847,93.61,-17.3106,8.3664,1.97,35.8309,-0.0321,0.0819,1903.8161,5.4719,6.432,0.0002
Al1.55 Cu1.97 Fe0.65 Mg1.12 Re0.61,6.8593,0.3941,15.6898,141.4542,3.791,12.5581,1.7666,53.701,-0.2292,0.745,1430.9467,3.623,7.289,0.1007
Al1 Cu1 Fe1 Ni1 Si1 Zr1,6.6667,0.4167,32.1667,135.3333,-39.6667,14.8967,2.0383,52.1,-0.0737,0.1557,1607.54,4.455,7.3398,0.091
Al0.4 Co1.92 Cr1.9 Y1.99 Zr1.57,5.4152,0.3474,32.0077,158.653,-17.737,12.5865,1.4126,65.0925,-0.1153,0.2516,1906.2877,4.716,6.8342,0.1347
Fe0.12 Mn0.41 Ni1.26 Pd1.06 Ta1.05,9.3538,0.3619,11.6231,174.8872,-30.1893,11.7752,1.2011,61.2923,-0.0342,0.0674,2156.3136,5.1112,7.8832,0.1535
Al1 Co1 Cr1 Nb1,5.75,0.1925,16.75,165.75,-20.75,11.5257,1.57,63.575,-0.1316,0.298,1907.8675,4.855,6.8482,0.0257
Ba1 Si1,3.0,0.505,71.0,60.0,-52.0,5.7628,3.275,26.0,-0.2545,0.6524,1343.5,3.025,6.6815,0.51
Co1.58 Cu1.9 Fe1.5 Mn0.79 Nb0.37 Si1.95,7.7009,0.2852,22.3288,160.4005,-22.5935,13.9915,1.8831,57.6799,-0.0418,0.0855,1680.7,4.218,7.8186,0.0257
Fe1 Ni1 Pd1 Si1 Ti1,7.2,0.336,18.4,151.0,-51.04,13.3809,2.144,58.6,-0.0389,0.0822,1799.01,4.418,7.7716,0.0887
Al1 Co1 Cr1 Cu1 Mn1 Mo1 Ti1 V1,6.375,0.4188,16.25,182.375,-8.5,17.2885,1.5412,65.075,-0.117,0.2599,1847.28,4.405,7.0584,0.0833
Ba0.74 Cr1.89 Fe0.15 Nb0.59 Zn1.2,6.8643,0.6405,100.9256,166.3304,17.3952,11.5358,1.4497,67.2582,-0.2214,0.4073,1659.8613,3.3978,7.2412,0.1614
Nb1.49 Pd1.34,7.3675,0.3159,3.6855,112.576,-52.8511,5.7511,1.1495,40.841,-0.0026,0.0054,2313.4583,5.8275,7.5062,0.1795
Nb0.13 Ni0.19,7.9687,0.1841,13.0625,161.4062,-28.9453,5.6158,1.225,60.5625,-0.0444,0.095,2143.1875,5.7116,7.2821,0.0464
Co1 Hf1 Ti1,7.0,0.3067,18.6667,156.3333,-28.0,9.1339,1.94,49.6667,-0.0647,0.1433,2071.6667,5.0867,7.178,0.1132
Al0.66 Cr0.7 Fe0.28 Ni1.78 Ti1.69,6.454,0.1997,15.5108,166.8532,-30.2523,11.8814,1.9785,64.6689,-0.0803,0.1769,1762.2897,4.3808,7.0526,0.0518
Co0.17 Cu0.34 W0.42,10.1828,0.2559,7.4194,271.3441,15.803,8.6259,1.1997,104.0774,-0.1169,0.2544,2488.2815,6.0977,7.8167,0.108
Cr0.46 Hf0.19 Re1.38,9.5862,0.4895,21.9803,391.4483,-10.8635,6.8215,1.3249,149.8719,-0.0652,0.0961,3079.9803,6.863,7.529,0.0691
Au1 Cr1 Nb1 Pd1 Zn1,7.6,0.61,10.2,138.2,-24.32,13.3809,1.248,53.4,-0.1322,0.3454,1757.612,4.142,8.0966,0.2821
Cu1.19 Fe1.79 Mo1.7 Nb1.93 Ni1.95 Zr0.43,7.6174,0.5157,25.7909,191.8532,-10.641,14.2267,1.2105,71.6337,-0.0781,0.1665,2154.9251,5.5044,7.364,0.0914
Co0.73 Cu0.24 Fe1.75 Mn1.56 Ni0.94,8.3391,0.2209,2.1092,201.1303,-1.9203,12.0782,1.0647,64.3452,-0.0469,0.1,1681.9377,3.8814,7.7039,0.0433
Cr0.53 Cu0.41 Hf1.63 Re0.17 W0.75,8.6246,0.6778,17.2808,235.7736,-8.0886,11.3985,1.4547,80.4192,-0.1862,0.5179,2623.5374,6.1417,7.1967,0.3498
Co1 Cr1 Y1 Zr1,5.5,0.3575,30.25,161.5,-14.75,11.5257,1.3275,66.0,-0.106,0.2408,1968.75,4.87,6.8748,0.1376
Cr1.05 Mn1.73 Nb0.35 W1.2,7.4273,0.5548,13.8961,269.1547,1.9189,10.5511,1.1456,89.5612,-0.1562,0.371,2381.8406,5.2393,7.3369,0.2397
Al1 Co1 Fe1 Nb1 W1,7.0,0.504,15.2,201.2,-16.16,13.3809,1.568,76.46,-0.1608,0.3823,2191.494,5.7,7.2784,0.1525
Al0.11 Co0.35 Cr0.71 Fe1.45 Hf1.45 Ni1.34 V1.44,7.5241,0.3728,24.6964,181.8993,-20.7793,14.6129,1.2073,66.7318,-0.068,0.1444,2042.0397,4.8683,7.2303,0.0966
Co1.09 Fe0.41 Mg1.37 Mn0.54 Mo0.91 N0.55 Nb1.58 Ni0.95,6.1108,1.2277,65.5216,176.1054,-32.3477,16.5433,1.6208,56.8919,-0.1433,0.3234,1812.3098,4.7648,7.9339,0.3803
Cr1 Fe1 Nb1 Ta1 Ti1,6.4,0.204,12.6,179.4,-10.72,13.3809,1.578,69.6,-0.073,0.1597,2394.4,5.78,7.2292,0.0267
Be1.68 Cu1.54 Fe1.41 Ti0.41 Zr1.08,6.134,0.3386,31.8546,184.469,-18.3438,12.6995,1.5085,76.0526,-0.1171,0.2519,1692.7003,4.2639,7.9518,0.087
Fe0.45 Si0.49 Ti0.35,5.3953,0.2379,21.0,145.7209,-52.194,9.0539,2.9053,58.3953,-0.0416,0.088,1799.1705,4.5676,7.7052,0.0439
Ag1 Hf1 Ni1 V1 Zn1,9.2,0.384,19.8,132.6,-13.12,13.3809,1.374,47.2,-0.0628,0.1378,1668.922,4.014,7.6362,0.1052
Al1 Li1 Si1 V1,3.25,0.55,23.25,79.0,-20.0,11.5257,2.3625,33.625,-0.1841,0.3637,1314.28,3.7325,6.5688,0.2279
C1.46 Fe0.7 Li1.38 Mo0.3 V1.56,4.1519,0.788,50.537,369.3074,-37.4651,12.3582,1.7939,80.7993,-0.2706,0.5974,2200.7254,4.8769,7.7899,0.6771
Al0.19 Co1.78 Nb0.83 V0.2 W1.98,8.3414,0.4038,16.1606,263.4237,-11.2542,10.6984,1.3077,100.4452,-0.1353,0.2602,2682.6505,6.7108,7.5694,0.1893
Al0.93 Cu1.55 Pd0.6,8.3896,0.3291,11.8766,110.1299,-16.9209,8.5285,1.5991,40.8195,-0.0271,0.0563,1321.2664,3.5287,7.3196,0.0842
Mo1 Si1 Zr1,4.6667,0.4667,25.6667,176.6667,-55.5556,9.1339,2.4667,66.6667,-0.1375,0.3274,2237.0,5.9933,7.2947,0.2403
Ag1 Mo1,8.5,0.115,3.0,206.0,37.0,5.7628,1.2,75.0,-0.146,0.36,2065.465,4.885,7.3375,0.0265
