composition,Mean VEC,Atomic_Radius_Difference,Calculated_Youngs_Modulus,Mixing_Enthalpy,Mixing_Entropy,Work_Function,Shear_Modulus_G,MOd_Missmatch,shear_modulus_difference,melting_Temp,cohesive_enrg,Ionization_enrg,Pauling_electronegativity
Co0.86 Fe0.53 Nb1.82 Ni1.84 Ti1.68,6.865,11.976,155.357,-27.828,12.618,1.645,58.08,-0.045,0.097,2069.199,5.37,7.25,0.052
Co1 Fe1 Hf1 Mg1 Mn1 Nb1 Ni1 Ti1,6.625,21.625,153.5,-12.375,17.288,1.551,49.625,-0.105,0.214,1868.25,4.498,7.364,0.101
Co1 Cu1 Fe1 Ti1 W1,8.4,14,215.4,-3.36,13.381,1.508,82.06,-0.108,0.263,2114.554,5.182,7.64,0.139
Au1 Ni1 Re1 Ti1,7.5,14,214.25,-19.5,11.526,1.648,81.25,-0.207,0.52,2116.332,5.248,7.893,0.259
Cr1.63 Fe0.87 Mn0.24 Mo1.18 Ni0.87 Pd1.48 V1.15,7.379,8.137,212.178,-13.505,15.377,1.047,81.615,-0.069,0.14,2106.487,4.701,7.387,0.114
Co1 Mn1 Zr1,6.667,22.667,167,-27.111,9.134,1.19,47.667,-0.073,0.165,1805,4.613,7.316,0.102
Al1 Ba1 Cr1 Nb1 V1 Zn1,5.5,100.833,117.167,10.444,14.897,1.703,47.383,-0.221,0.521,1623.192,3.852,6.811,0.153
Fe1 Mn1 Ni1 Ta1 Ti1 W1,8,12.167,220.333,-14.111,14.897,1.548,77.833,-0.113,0.275,2330.667,5.582,7.593,0.182
Ag1 Al1 Au1 C1 Ti1 Zr1,5.167,60.667,248.5,-64.111,14.897,2.243,55.05,-0.272,0.883,1914.955,4.81,7.918,0.457
Co0.78 Cr1.42 Mo0.55 Pd0.88 Ti1.54,6.538,11.25,198.311,-25.992,12.81,1.622,76.263,-0.086,0.19,2062.914,4.621,7.256,0.135
Al1 Cr1 Fe1 Hf1 Ni1 Sn1,6.5,25.833,159,-19.778,14.897,1.978,57.883,-0.175,0.375,1610.592,4.223,7.077,0.099
Cr1 Fe1 Hf1 Nb1 V1 Zr1,6,17.833,160.167,-11,14.897,1.24,59.167,-0.116,0.268,2259.667,5.635,6.939,0.07
Ba1 Fe1 Li1 Nb1,4,83.75,85,44.75,11.526,1.355,32.3,-0.396,0.967,1503.662,3.725,6.316,0.319
Al0.27 Co0.79 V0.74,6.456,9.65,154.85,-19.054,8.409,1.274,60.295,-0.043,0.075,1813.432,4.614,7.13,0.032
Al0.69 Co1.46 Mn1.67 Ni0.87 Sc1.52,6.467,28.324,156.293,-26.591,12.949,1.876,47.713,-0.093,0.205,1613.968,3.613,7.194,0.09
B1 Fe1 V1,5.333,30,263,-33.333,9.134,1.643,103,-0.097,0.221,2114.333,5.107,7.649,0.056
Al0.38 Co0.13 Cr1.5 Fe0.75 Ta0.65,6.792,16.238,220.358,-11.226,11.468,1.31,87.564,-0.065,0.108,2155.809,4.831,7.186,0.027
Fe1.83 Hf0.32 Mg1.81 Mn1.0 Ti0.63,5.428,22.413,140.383,7.806,12.041,1.625,45.286,-0.155,0.357,1525.673,3.304,7.553,0.096
Hf1 Ni1 Re1 Zr1,8.25,21,225.25,-38.5,11.526,1.453,79.25,-0.225,0.57,2455.25,6.222,7.245,0.174
Al1.25 Au1.35 Cu1.07 Fe1.19 Mo0.71 Ti0.71,6.193,14.538,143.143,-12.387,14.644,1.683,53.348,-0.136,0.34,1594.651,4.211,7.563,0.25
Al1.92 Cr1.14 Fe1.39 Nb0.88 Ti1.42 V0.72 Y1.87,4.605,37.296,130.055,-12.424,15.746,1.916,54.519,-0.109,0.27,1810.157,4.581,6.672,0.073
Cr1.17 Cu0.95 Hf0.27 Mo0.81 Re1.94,8.916,24.241,321.696,2.613,12.161,1.234,122.773,-0.1,0.175,2640.724,5.951,7.42,0.081
Al1.95 Cr1.04 Cu1.89,6.738,6.004,137.779,-0.064,8.841,1.786,53.724,-0.138,0.385,1363.453,3.568,6.826,0.036
Al1 C1 Fe1 Ni1 Zr1,5.8,49.6,325,-65.44,13.381,2.126,77.46,-0.182,0.439,2103.094,5.196,7.884,0.329
Al0.19 Ba0.88 Co0.46 Fe1.65 Sc0.68,5.624,92.218,134.547,10.493,11.706,1.797,51.533,-0.22,0.405,1578.318,3.418,6.956,0.304
Al0.44 Nb0.92 Ni0.32 Sc1.81 Ti1.93,4.109,30.127,101.332,-7.855,11.689,2.781,38.425,-0.036,0.092,1941.542,4.639,6.707,0.039
Ag1.21 Co0.98 Cr1.36 Cu0.78 Fe1.02 Ti0.44 V1.26,7.814,14.53,172.146,7.671,15.783,1.107,67.9,-0.083,0.176,1801.788,4.165,7.331,0.035
Al1 N1 Ni1 Sn1,5.5,52.25,155,-68.25,11.526,3.248,40.075,-0.129,0.306,807.425,3.958,8.876,0.588
Ba1.97 Co0.78 Cr1.66,4.744,69.692,147.794,36.041,8.598,1.435,58.787,-0.288,0.732,1580.009,2.954,6.269,0.361
Al1 Fe1 Mn1 Mo1 N1 Ni1 Re1,7.143,54.429,253,-52.245,16.178,1.987,79.614,-0.173,0.4,1772.803,4.944,8.354,0.431
Al1 Cr1 Cu1 Mn1 Ni1 Zr1,6.833,29.167,161.833,-20.889,14.897,1.438,55.6,-0.13,0.312,1641.04,4.14,7.031,0.081
Cr0.43 Mn1.59 Ti0.3 Zn0.53 Zr1.97,6.048,17.409,147.72,-16.715,11.33,1.45,42.759,-0.083,0.287,1762.28,4.448,7.225,0.034
Au1 Cr1 Fe1 Li1 Ni1 Pd1,6.667,16.5,150,-3.222,14.897,1.018,58.033,-0.208,0.406,1556.338,3.69,7.544,0.465
Cr1.68 Ti1.33,5.116,10.605,206.977,-6.905,5.706,1.852,83.628,-0.079,0.178,2074.395,4.431,6.794,0.007
Co0.76 Cr0.75 Cu1.28 Fe0.32 Ti1.46,7.4,13.569,168.79,-8.346,12.489,1.644,64.673,-0.064,0.159,1778.995,4.23,7.32,0.05
Ba0.12 Cr0.71 Ni1.17 Pd1.74 Ti0.72 V1.84 W1.06,7.647,116.054,190.067,-21.949,14.791,1.261,75.401,-0.123,0.299,2201.265,5.128,7.41,0.21
Cr1 Cu1 Mo1 N1 Ni1 Pd1,8,55.5,226.5,-51.111,14.897,1.713,73.883,-0.092,0.199,1675.495,4.605,8.684,0.385
Mn0.87 Ti0.61,5.764,11.757,164.203,-7.753,5.634,1.866,38.709,-0.006,0.013,1692.932,3.715,7.184,0
Al1 Au1 Fe1 Hf1 Pd1 Si1 Ti1 Zr1,5.75,27,117.625,-64.812,17.288,2.102,41.662,-0.069,0.168,1771.481,4.67,7.486,0.323
Be0.8 Co0.92 Mn0.56 Nb0.79,5.782,20.557,200.557,-19.412,11.4,1.361,73.036,-0.124,0.279,1921.075,4.672,7.886,0.039
Ba1 Co1 Cr1 Fe1 Hf1 Ni1,7.167,100.5,176,3.333,14.897,1.325,63.833,-0.176,0.32,1832.167,4.108,7.038,0.274
Cu0.56 Ni1.35,10.293,2.827,179.476,3.316,5.03,1.113,67.879,-0.017,0.035,1619.451,4.161,7.665,0
Co1.03 Fe0.6 Mn0.73 Si0.64,7.247,11.7,184.963,-28.396,11.327,1.783,60.693,-0.048,0.098,1698.73,4.061,7.834,0.039
Al0.1 Fe0.88 Mn0.4 Ta0.23 W0.59,8.232,14.605,253.25,-4.315,11.689,1.295,90.75,-0.127,0.262,2377.899,5.629,7.718,0.202
C1 Cr1 Hf1 Mg1 Ni1 Pd1 V1,6.429,58.429,281,-48.082,16.178,1.661,72.714,-0.2,0.466,2180.436,4.663,7.889,0.364
Al0.34 Cu1.69 Fe0.16 Nb2.0 Sn1.59 Ta0.8,6.755,25.31,108.748,0.694,12.92,1.989,40.047,-0.079,0.181,1798.913,5.219,7.274,0.064
Co1 Cr1 Cu1 Nb1 Ta1 Zr1,7.333,21.167,167.167,-12.556,14.897,1.222,63.05,-0.086,0.194,2245.628,5.697,7.276,0.081
Ag1 B1 Cu1 Mn1 Nb1 Ni1 Pd1 V1,7.75,43.5,176.875,-17.875,17.288,1.298,62.288,-0.161,0.474,1868.719,4.538,7.564,0.093
Al1.27 C1.36 Cr0.59 Nb0.78 Ta1.24 Ti0.86,5.13,51.626,343.248,-66.072,14.552,2.505,79.589,-0.199,0.467,2572.126,6.038,7.842,0.335
Al0.2 B1.09 Mo1.49 Ni0.32 Pd1.15 Y1.77 Zr0.17,5.412,54.766,214.397,-42.309,13.985,1.771,84.404,-0.161,0.368,2142.706,5.166,7.267,0.349
Al1.05 Au0.24 Co0.63 Cu0.57 Mn0.45 Nb0.71 Si0.76,5.902,20.073,123.12,-30.866,15.568,2.146,42.478,-0.057,0.135,1611.574,4.4,7.303,0.109
Au1.16 Co0.8 Fe1.68 Nb1.8 Ni0.36 Ta0.47 V1.48,6.538,11.884,148.39,-18.045,15.114,1.111,56.985,-0.063,0.127,2110.633,5.419,7.599,0.205
Al1 Fe1 Mo1 Ti1 V1,5.2,14.8,170.8,-15.04,13.381,1.876,65.86,-0.11,0.245,1952.894,4.924,6.912,0.101
Nb0.28 Ti1.61,4.148,0.852,114.37,1.01,3.488,2.777,43.111,-0.001,0.002,2060.852,5.253,6.818,0.001
Co0.34 Cu0.52 Mn1.3 Si1.32 Sn1.03 Ti1.29,5.593,28.005,127.317,-35.477,14.099,2.793,40.251,-0.053,0.114,1471.176,3.915,7.499,0.069
Al1 Au1 Cr1 Fe1 Nb1 Sn1 Zr1,5,22.571,126.714,-23.592,16.178,1.823,48.471,-0.188,0.473,1663.554,4.683,7.231,0.254
Cu1 Fe1 Mn1 Nb1 Ta1,8,11.4,166,-2.72,13.381,1.198,54.46,-0.052,0.112,2145.554,5.272,7.542,0.051
B1 Cr1 Fe1 Ni1 Ti1 V1 Zr1,5.714,44.143,211.143,-35.918,16.178,1.647,82.429,-0.121,0.28,2045.714,5.034,7.259,0.099
Co1.06 Cr0.37 Fe1.62 Hf0.36 Mn0.88 Mo1.51 Nb1.18 V1.74,6.585,25.019,199.092,-9.293,16.311,1.137,71.297,-0.087,0.179,2209.835,5.311,7.235,0.102
C1 Cr1 Hf1 Mo1 Nb1 Ni1 Ta1,6.857,60.286,327.571,-52.163,16.178,1.72,88.286,-0.129,0.272,2752.143,6.346,7.749,0.315
Ba1.59 Co1.58 Cu0.2 Fe1.85 Nb1.29 Pd1.74 Zr1.09,6.703,96.354,130.16,-13.697,15.316,1.284,48.111,-0.164,0.307,1825.821,4.439,7.212,0.367
Au1.05 B1.13 C0.79 Fe0.16 Li0.12,4.062,47.092,447.686,-18.301,11.192,2.401,113.346,-0.191,0.373,2306.343,5.282,9.191,0.264
Al1 Cu1 Fe1 N1 Ni1,7.4,47.2,182.2,-56.16,13.381,2.214,54.52,-0.073,0.152,1178.678,4.092,8.758,0.506
Fe1.99 Mo0.79 Nb1.54 Ni0.25 Si0.85 W0.52,6.643,20.822,201.375,-29.295,13.381,1.7,77.301,-0.095,0.233,2342.438,5.932,7.52,0.104
Al0.63 Cr1.56 Cu0.22 Fe0.41 Li0.53 V1.23,5.159,21.166,165.441,5.763,13.337,1.229,68.243,-0.188,0.329,1737.037,4.024,6.642,0.11
Cu1 Sc1,7,17,102,-24,5.763,2.245,38.65,-0.028,0.062,1585.885,3.38,7.144,0.146
Al1.03 Fe1.97 Mn1.53 Ni0.64 Si1.88 Y1.64,5.57,46.351,140.947,-39.655,14.408,2.196,51.372,-0.072,0.153,1620.374,4.053,7.309,0.125
Al1 C1 Cr1 Cu1 Mn1 Ni1 V1 Zr1,6.25,53.625,268.625,-42,17.288,1.681,70.075,-0.176,0.438,1993.03,4.69,7.524,0.236
Cr1 Fe1 Mo1 N1 Ni1,7,51.4,263.8,-63.52,13.381,1.874,86.6,-0.056,0.113,1735.63,4.906,8.788,0.475
Cr1.32 Ni0.79,7.498,2.502,249.422,-6.558,5.498,1.01,100.398,-0.017,0.035,2010.768,4.227,7.094,0.029
Cr0.75 Mn0.86 Ta0.95 Ti1.14 W1.25,7.299,11.434,242.873,-4.765,13.24,1.682,87.537,-0.146,0.321,2605.723,6.048,7.389,0.248
Ba1 Cr1 Cu1 Mn1 Ni1 Ta1,7.5,102,167.667,12.889,14.897,1.288,58.05,-0.179,0.352,1845.795,4.078,7.111,0.233
Co1 Mn1 Mo1 Ni1 V1,7.4,9.2,212.8,-8.48,13.381,1.106,72.6,-0.068,0.149,2018.8,4.776,7.36,0.094
Al1 Au1 Cu1 Fe1 Nb1 Ni1 Re1 Ta1,7.75,15.625,180.375,-15,17.288,1.439,68.075,-0.173,0.46,2083.321,5.368,7.626,0.182
Al1.87 Cr0.63 Fe1.39 Nb0.18 Ni1.24 Zr1.25,5.916,29.439,150.055,-32.488,13.644,1.708,57.613,-0.118,0.275,1666.768,4.55,6.924,0.079
Ag1 Mn1 Ni1 Si1 V1 Zn1,8.167,18.167,137.333,-19.333,14.897,1.78,48,-0.046,0.1,1507.435,3.6,7.823,0.048
Al1 C1 Cr1 Nb1 Ti1 W1 Zr1,5.143,59.714,303.571,-52.653,16.178,2.16,83.9,-0.221,0.486,2506.067,6.097,7.443,0.36
Fe1 Hf1 Li1 Mo1 Ti1 Zr1,5.167,21.167,150.833,9.667,14.897,1.623,52.2,-0.24,0.533,1955.942,5.022,6.78,0.294
Co1 Cr1 Nb1 Ni1 V1 W1,7.5,13.333,222,-13.333,14.897,1.127,87,-0.096,0.216,2384,5.785,7.276,0.137
Au1.75 Co0.53 Cr1.88 Fe0.86 Mn0.37 Ni0.22,6.501,11.822,190.822,0.576,12.857,0.993,71.906,-0.123,0.263,1760.324,3.997,7.892,0.298
Al1 Co1 Cu1 Fe1 Li1 Re1 Ti1 V1,6.5,18.625,167.25,-2.062,17.288,1.555,64.35,-0.234,0.578,1738.361,4.401,7.043,0.168
Co1.96 Cu0.33 Fe0.14 Mo0.16 Ta0.23 V0.41,8.505,17.319,195.04,-7.211,10.569,1.068,72.093,-0.018,0.041,1944.884,4.795,7.684,0.04
Co0.79 Cr1.26 Nb0.83 Ni0.45 Re0.57,7.587,13.923,245.567,-14.892,12.87,1.125,95.218,-0.096,0.215,2352.628,5.492,7.254,0.034
Ag1 Al1 Co1 Ni1 Pd1 Ti1,7.833,15,133.167,-25,14.897,1.7,49.217,-0.075,0.16,1572.242,3.98,7.375,0.096
Cr1.67 Nb1.78 Ni0.65 Re1.93 Si1.16 Ti1.32 V1.85,6.353,23.107,211.434,-31.329,15.787,1.762,84.042,-0.158,0.376,2402.728,5.796,7.187,0.041
Be1.82 Cr0.66 Cu1.27 Nb0.92 Ni1.36 Si1.32 V0.2,6.099,24.885,186.36,-24.579,15.15,1.915,78.045,-0.104,0.221,1794.157,4.428,7.942,0.048
Co1 Cu1 Mn1 Mo1 Nb1 W1,8,12,230.333,1.222,14.897,1.203,79.55,-0.149,0.342,2330.962,5.682,7.46,0.164
Al1 Co1 Cr1 Fe1 V1 Zn1,7.167,9.5,167.5,-9.111,14.897,1.492,66.383,-0.088,0.186,1594.692,3.798,7.446,0.022
Co0.14 Cu1.85 Fe1.93 Mn1.81 Ti1.13,7.907,16.758,170.036,-1.433,11.958,1.362,54.109,-0.055,0.12,1632.266,3.804,7.554,0.051
Ni1 Y1,6.5,27,132,-31,5.763,1.515,58.5,-0.039,0.089,1763.5,4.45,6.928,0.238
Ba1 Co1 Cu1 Mo1 Ni1 V1,7.167,102.5,168.167,13.556,14.897,1.252,63.55,-0.158,0.296,1822.128,4.312,7.051,0.328
Al1.37 Cr0.33 Hf1.96 N0.58 Ni0.95 Re1.26 Ti1.25 Zr0.18,6.821,69.037,200.445,-68.939,15.811,2.235,65.152,-0.236,0.675,1999.476,5.33,7.507,0.385
Co1.14 Cr0.48 Nb1.59 Ni1.07 Re0.39 Sc0.25 V1.23,6.989,27.446,180.429,-19.727,14.902,1.216,69.792,-0.095,0.262,2239.184,5.559,7.181,0.048
Co0.93 Cr0.19 Fe0.98 Mo1.84 Nb1.24 Ni0.18 Zn1.51,7.934,11.282,202.154,-4.901,14.45,1.404,75.472,-0.089,0.187,2027.489,4.924,7.767,0.094
Cr1 Mo1 Nb1 Si1 V1 Zr1,5,25.333,173.667,-32.667,14.897,1.757,68.333,-0.121,0.271,2304,5.827,7.026,0.135
Al1.98 Co0.53 Ni0.9 Si1.43 Zr1.9,4.901,30.294,112.905,-62.698,12.592,2.499,43.047,-0.073,0.183,1601.798,4.748,6.998,0.112
Cu1.61 Mn1.81 Mo1.89 Nb1.93 Ti0.3 W1.78,7.55,10.524,231.601,4.694,14.118,1.303,79.51,-0.175,0.404,2454.479,5.977,7.339,0.201
Al1 Mo1 Ni1 W1,7.25,12,252.5,-9.75,11.526,1.747,95.825,-0.131,0.274,2313.118,5.88,7.147,0.157
Al0.34 Cr1.82 Fe1.72 Ni1.69 Pd1.35 Ti1.08,7.552,16.279,190.141,-21.125,14.139,1.379,74.33,-0.071,0.139,1860.546,4.245,7.435,0.089
Co1 Cr1 Fe1 Hf1 Mo1 Ti1 V1 Zn1,7.25,22.5,190.5,-11.875,17.288,1.515,70.75,-0.093,0.196,1997.21,4.64,7.43,0.114
Al1 Co1 Cr1 Fe1 Mn1 Ni1 Si1 V1,6.5,13.125,175.25,-26.688,17.288,1.705,64.162,-0.084,0.176,1726.184,4.179,7.313,0.038
Cu0.51 Mn1.38 Ni0.32,8.357,2.796,182.597,-0.053,7.584,1.054,44.006,-0.037,0.105,1512.056,3.272,7.531,0.059
Al1.93 Cr1.85 Fe1.19 Ni1.13 V0.54 W0.56,6.39,13.333,198.281,-12.805,13.994,1.578,78.876,-0.116,0.264,1831.993,4.449,6.966,0.084
Mn1.23 Mo1.56 Ni0.44 Ti0.21 V1.28,6.273,13.525,218.852,-3.304,11.888,1.22,73.282,-0.105,0.226,2192.436,5.085,7.129,0.142
Cr1.17 Re0.24,6.851,7.468,310.319,-2.26,3.793,1.002,125.723,-0.014,0.035,2397.702,4.747,6.956,0.016
Al1.78 B0.22 Cr1.03 Cu1.41 Mn0.38 Ni0.8 Ti0.42,6.627,39.215,161.959,-12.221,14.542,1.816,60.157,-0.145,0.391,1508.783,3.822,6.978,0.048
Fe1.54 Mo0.43 Ni1.48 Si1.69 Ti0.5 W1.0,7.298,20.883,212.687,-34.689,13.958,2.186,83.252,-0.087,0.211,2124.727,5.308,7.768,0.09
Au1 Co1 Fe1 Ti1 Zr1,6,19.6,141.6,-34.88,13.381,1.52,52.2,-0.085,0.182,1797.066,4.77,7.694,0.336
B0.92 Co0.36 Hf1.2 Li1.73 Nb1.73 Ni1.34 Ti1.81 V0.33,5.124,53.64,146.807,-10.545,16.201,1.763,52.303,-0.26,0.728,1899.808,4.933,6.848,0.228
Al1.0 Co1.0 Cr1.18 Cu0.13 Ti0.89 Zr0.61,5.511,27.129,163.347,-26.859,13.88,1.842,62.904,-0.134,0.293,1762.152,4.437,6.857,0.056
Al1.18 Co1.85 Cu0.66 Hf1.62 Mn1.24 Nb0.12 Zr1.26,6.902,22.654,146.897,-32.013,14.967,1.552,42.85,-0.082,0.187,1793.567,4.653,7.085,0.111
Ni1.23 Zr1.91,6.35,21.898,135.522,-46.702,5.566,1.361,49.844,-0.07,0.177,1971.312,5.711,7.028,0.16
Ag1 Al1 Co1 Cr1 Cu1 Si1 Ta1 Zn1,8.125,18.375,146.5,-13.562,17.288,1.887,56.7,-0.099,0.228,1642.981,4.046,7.671,0.049
Ag0.56 Co0.84 Fe1.58 Mo0.86,8.208,13.536,218.323,11.902,10.922,1.116,81.396,-0.058,0.11,1960.578,4.679,7.67,0.033
Al0.18 Cr0.23 Fe1.75 Hf1.7 Nb0.8 Ni1.51 W1.57,8.31,21.565,222.492,-19.642,14.45,1.374,80.57,-0.148,0.334,2417.223,5.944,7.41,0.253
Co0.49 Cu0.41 Fe0.97 Mn1.09 Mo0.7 Ta1.69 V1.51 Zr0.14,7.404,25.263,189.611,-6.319,15.782,1.182,66.506,-0.055,0.123,2288.134,5.473,7.459,0.09
Cu1 Mn1 Ni1 Ta1 Zr1,8.2,23,161.6,-18.4,13.381,1.254,52.26,-0.053,0.112,2004.554,5.096,7.465,0.106
Mn1.2 Nb0.63 Ni1.46 V1.42,7.059,15.278,165.076,-15.245,11.157,1.075,54.743,-0.045,0.093,1948.628,4.734,7.2,0.044
Al1.39 Co1.25 Fe1.48 Nb0.39 Si1.91 Ta0.75 Zn0.32 Zr0.56,6.171,33.58,141.969,-43.07,16.018,2.34,54.689,-0.07,0.142,1784.262,4.777,7.542,0.064
Al1 Au1 Co1 Cr1 Mo1 Nb1,5.667,15.333,178.333,-15.889,14.897,1.445,66.883,-0.162,0.346,1977.467,5.007,7.286,0.236
Al1 Ba1 Hf1 Mo1 V1,4.8,92.4,136.8,15.68,13.381,1.818,47.66,-0.281,0.696,1903.694,4.586,6.374,0.35
Cu1 Mo1 Nb1 Si1 Zr1,6,25.8,153,-32.48,13.381,1.944,57.26,-0.12,0.31,2163.754,5.808,7.274,0.163
Ag0.93 Co0.54 Hf0.47 Mo1.6 Nb1.59 Ni0.52 Ti1.81,6.547,18.382,169.576,-5.069,15.071,1.707,60.869,-0.131,0.308,2238.458,5.627,7.097,0.142
B0.9 Fe1.96 Ni0.71 Pd1.26 Ti1.07,7.18,41.09,209.685,-35.255,12.862,1.698,79.695,-0.107,0.276,1910.297,4.541,7.829,0.095
Co1 Re1 V1,8.333,7,266.667,-11.111,9.134,1.11,103.333,-0.114,0.266,2470,5.867,7.502,0.03
Cu1 Fe1 Hf1 Mn1 Nb1 Pd1,8.167,21.5,151.5,-24.444,14.897,1.19,46.217,-0.057,0.136,1961.97,4.695,7.497,0.165
Mo0.75 Re1.59 Si0.52,8.416,21.797,363.133,-23.291,8.209,1.965,138.972,-0.075,0.128,2989.178,7.022,7.724,0.026
Co0.14 Mo0.77 Nb1.92 Ni1.83 Si0.31 Ti1.65,6.287,26.27,162.35,-31.223,12.769,1.854,60.742,-0.076,0.191,2212.281,5.735,7.148,0.091
Ag0.18 C1.23 Cr1.79 Fe1.25 Nb0.91 Ti1.36 V1.05,5.519,55.135,316.256,-45.874,15.28,1.831,87.145,-0.125,0.273,2398.726,5.321,7.686,0.229
