composition,hardness,Mean VEC,electronegativity_difference,Atomic_Radius_Difference,Calculated_Youngs_Modulus,Mixing_Enthalpy,Mixing_Entropy,Work_Function,Shear_Modulus_G,MOd_Missmatch,shear_modulus_difference,melting_Temp,cohesive_enrg,Ionization_enrg,Pauling_electronegativity
Co1 Cr1 Fe1 Mo0.083 Ni1,479,8.204261572,0.333088415,12.98065148,226.8692138,-3.877897573,12.11704927,1.047114867,87.67083027,-0.017758455,0.037044341,1892.571149,4.353676218,7.538382807,0.0229242
Co1 Cu1 Fe1 Ni1,480,9.5,0.05,2.25,187.5,5,11.52565132,1.06,70.325,-0.01595256,0.034144832,1666.1925,4.15,7.78725,0.0019
Al1 Cu1 Ni1 Ti1,536,7,0.2,17.75,129,-23.25,11.52565132,2.05,48.65,-0.061339861,0.134071102,1490.06,4.035,7.045,0.0557
Co0.476 Cr0.476 Fe0.476 Nb0.095 Ni1,537,8.491082045,0.230408244,19.85097107,215.1006738,-6.701102768,11.9242574,1.075465715,82.87039239,-0.02245143,0.043845412,1874.963932,4.454090369,7.537021403,0.020904859
Al1 Li0.5 Mg1 Sn0.2 Zn0.5,546,3.84375,0.5140625,25,57.65625,-3.88671875,12.30762303,2.295,22.03125,-0.132337062,0.274018812,790.8284375,2.18375,7.0293125,0.142260742
Co1 Cu1 Fe1 Ni1 Sn0.02,548,9.472636816,0.07960199,36.06965174,186.8159204,5.019677731,11.72893147,1.074477612,70.06467662,-0.01824634,0.03698884,1660.415821,4.144975124,7.785044776,0.001953912
Co1 Cr1 Fe1 Mo0.208 Ni1,589.6,8.13878327,0.323193916,12.59505703,229.9030418,-4.046249042,12.59240747,1.05730038,88.63117871,-0.018476281,0.039004117,1922.378327,4.426939163,7.525330798,0.028638913
Co1 Cu1 Fe1 Ni1 Sn0.04,594,9.445544554,0.079207921,35.89108911,186.1386139,5.038721694,11.87334603,1.088811881,69.80693069,-0.020482062,0.039818224,1654.696337,4.14,7.782861386,0.002006666
Co1 Cu1 Fe1 Ni1 Sn0.1,602,9.365853659,0.07804878,35.36585366,184.1463415,5.09220702,12.19786503,1.13097561,69.04878049,-0.026859987,0.048219472,1637.872683,4.125365854,7.776439024,0.002158239
Co1 Cu1 Fe1 Ni1 Sn0.05,615,9.432098765,0.079012346,35.80246914,185.8024691,5.048010974,11.93642003,1.095925926,69.67901235,-0.021578764,0.041227458,1651.857778,4.137530864,7.781777778,0.002032617
Al1 Li1 Mg1 Sn1 Zn1,615,4.4,0.522,24.2,56.8,-6.08,13.3808668,2.41,21.7,-0.160957196,0.346951517,701.576,2.198,7.1524,0.221072
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.75,618.8,6.285714286,0.399047619,18.28571429,192.6666667,-18.6122449,14.67703288,1.734761905,74.72380952,-0.096817864,0.19630586,1820.232381,4.424285714,7.041047619,0.067121995
Co1 Cr1 Fe1 Nb0.103 Ni1,622,8.168413356,0.214477212,19.74165245,221.743846,-5.473010986,12.2114329,1.047029003,85.76992445,-0.022691234,0.043569792,1893.797222,4.384525957,7.527705825,0.020599587
Co1 Cu1 Fe1 Ni1 Sn0.07,632,9.405405405,0.078624079,35.62653563,185.1351351,5.066133813,12.05014248,1.11004914,69.42506143,-0.02373103,0.044035064,1646.222506,4.132628993,7.779626536,0.002083683
Nb1 Ta1 Ti1,683,6,0.053333333,0.666666667,135.6666667,1.333333333,9.133862568,1.973333333,50.33333333,-0.033606065,0.071137231,2660.333333,6.84,7.159,0.003377778
Co1 Cr1 Fe1 Mo0.304 Ni1,709.7,8.091078067,0.31598513,12.31412639,232.1133829,-4.157971836,12.83389161,1.06472119,89.33085502,-0.018980003,0.040228143,1944.094796,4.480315985,7.515821561,0.032555866
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,720,8.249212461,0.28900245,12.1480574,230.1246062,-3.821651076,12.68839016,1.079499475,87.1099055,-0.017930087,0.040366679,1943.382919,4.577717886,7.591473224,0.031428671
Co1 Cr0.2 Fe1 Ni1 Si0.2,732,8.529411765,0.202352941,13.35294118,205.0588235,-10.20069204,11.74868856,1.272941176,78.05882353,-0.011673708,0.02389307,1788.352941,4.369411765,7.766647059,0.007118339
Al1 Mo1 Ta1 Ti1 V1,735,5.4,0.472,18.8,165.8,-12.96,13.3808668,1.98,63.26,-0.108595742,0.251312775,2248.694,5.688,6.9098,0.115792
Co1 Cr1 Fe1 Nb0.155 Ni1,744,8.128760529,0.21179302,19.49458484,220.2827918,-6.276635953,12.41995407,1.050445247,85.17208183,-0.025151612,0.047518195,1904.512635,4.424392298,7.518085439,0.021478769
Al0.25 Cr0.417 Fe0.417 Ni1,757,7.959692898,0.197979846,6.480806142,202.4136276,-10.69858551,10.39771068,1.311895393,79.04222649,-0.053142005,0.095813306,1739.738244,4.210393474,7.319324856,0.028350091
Co1 Cr1 Fe1 Mo0.2 Ni1,780,8.142857143,0.323809524,12.61904762,229.7142857,-4.036281179,12.56847688,1.056666667,88.57142857,-0.018432422,0.038891779,1920.52381,4.422380952,7.526142857,0.028294785
Al1 Co1 Cr1 Cu1 Fe1 Ni1,790,7.833333333,0.188333333,6.833333333,183.1666667,-4.777777778,14.89668823,1.361666667,70.43333333,-0.076588281,0.154860867,1629.706667,4.01,7.317,0.028361111
Co1 Cr1 Fe1 Nb0.206 Ni1,807,8.090822634,0.209224917,19.25820257,218.8849263,-7.024812729,12.58648848,1.053713742,84.6000951,-0.027397068,0.051303097,1914.764622,4.462534475,7.508881122,0.02229295
Al0.304 Cr0.435 Fe0.435 Ni1,835,7.820607176,0.192019319,6.361545538,199.8298068,-11.48410715,10.6102464,1.348661454,78.05436983,-0.05832204,0.107136318,1723.946587,4.188932843,7.286457682,0.029423215
Al1 Li0.062 Mg0.062 Sn0.062 Zn0.062,836,3.34775641,0.603173077,37.98878205,66.72115385,-0.52450074,6.435880288,2.860961538,25.15737179,-0.04324604,0.070363624,875.868125,3.071362179,6.275730769,0.059268966
Co0.476 Cr0.476 Fe0.476 Nb0.19 Ni1,840,8.364400306,0.222047364,19.13063407,211.105424,-9.153632868,12.3699741,1.08433919,81.2421696,-0.028515847,0.054632438,1906.716578,4.567158136,7.508789152,0.023859302
Nb0.333 Ta0.667 Ti0.667 Zr1,843,5.375328084,0.141252343,8.50056243,123.8841395,2.374343814,10.98121241,1.873925759,45.37870266,-0.043133566,0.099198421,2449.503937,6.632343457,7.012243345,0.021566267
Nb1 Ta0.667 Ti0.667 Zr0.333,852,5.625421822,0.196272966,12.00187477,126.6351706,2.124156303,10.98121241,1.831409824,46.62917135,-0.037595966,0.081867273,2605.062242,6.892440945,7.043505062,0.014135698
Co1 Cr1 Fe1 Nb0.309 Ni1,879,8.016941286,0.204223718,18.79786493,216.1626828,-8.423759798,12.84449419,1.060078905,83.48619169,-0.031480261,0.058691363,1934.729636,4.536813646,7.49095637,0.023802798
Al1 Cu0.062 Li0.062 Mg0.062 Zn0.062,879,3.695512821,0.600192308,29.67788462,70.69551282,-1.133074458,6.435880288,2.713413462,26.66266026,-0.051148361,0.093303469,918.2293269,3.08875,6.294708333,0.055115952
Co1 Cr1 Fe1 Mo0.15 Ni1,895,8.168674699,0.327710843,12.77108434,228.5180723,-3.971548846,12.40181867,1.052650602,88.19277108,-0.018151801,0.038150587,1908.771084,4.393493976,7.531289157,0.026078676
Cr1 Cu1 Fe1 Mn1 Ni1,950,8.4,0.22,2.6,203.6,2.72,13.3808668,1.036,71.26,-0.071593283,0.153326566,1719.154,3.846,7.4938,0.04024
Al0.364 Cr0.455 Fe0.455 Ni1,956,7.678979771,0.185949868,6.240105541,197.1987687,-12.21258013,10.79514192,1.386099384,77.04846086,-0.063299875,0.118896654,1707.86635,4.167080035,7.252989886,0.030369919
Hf1 Nb1 Ti1 Zr1,969,5.25,0.1575,7,114.75,2.5,11.52565132,1.9,36.25,-0.010412756,0.021450654,2331.25,6.2425,6.7615,0.0336375
Hf0.333 Nb0.333 Ta0.333 Ti1 Zr0.667,990,5.249062266,0.159981245,8.498499625,121.3627157,1.874061914,12.42063323,2.090127532,41.87246812,-0.032333252,0.075737561,2327.904726,6.162145536,6.90312078,0.024948761
Nb1 Ti1 Zr1,991,4.333333333,0.16,9,105,2.666666667,9.133862568,1.946666667,38.33333333,-0.006684314,0.013761815,2273,6.316666667,6.740333333,0.0268
Co1 Cr1 Fe1 Nb0.412 Ni1,1004,7.946509519,0.199456029,18.35902085,213.5675431,-9.685938539,13.02914064,1.066146872,82.42429737,-0.035037552,0.065751377,1953.762466,4.60762466,7.47386854,0.025149
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.5,1025,6.846153846,0.489230769,45.84615385,159.3846154,-18.31952663,16.00545758,1.705384615,62.32307692,-0.093491607,0.205172315,1662.729231,4.132307692,7.067153846,0.081983432
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5 Ti0.5,1030,6.142857143,0.19,20.42857143,165,-23.34693878,14.53177536,1.887142857,63.51428571,-0.098801207,0.227736588,1613.562857,4.111428571,6.998571429,0.038285714
Al0.511 Co0.511 Cr0.511 Fe0.511 Ni1,1030,7.649802891,0.189204993,6.167871222,194.7959921,-12.02363841,13.00307758,1.389983574,75.04313403,-0.062413982,0.119912663,1691.147231,4.166369908,7.300228647,0.029100576
Al0.6 Mo1 Ta1 Ti1 V1,1033,5.608695652,0.465217391,20.43478261,174.1304348,-10.01890359,13.24158918,1.890434783,66.47391304,-0.09889497,0.218170575,2363.061304,5.890434783,6.990130435,0.124710775
Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,1050,7.723776224,0.192692308,6.162587413,194.9597902,-11.91322314,12.87677288,1.382744755,75.07325175,-0.06068948,0.116050154,1692.307185,4.174982517,7.310923077,0.028933055
Co1 Cr1 Mo1 Nb1 Ti1,1096.8,6,0.392,12,207.6,-13.44,13.3808668,1.538,78.4,-0.091649497,0.191886193,2307,5.546,7.0668,0.103232
Hf1 Ta0.4 Ti1 Zr1,1100,5.764705882,0.137058824,8.235294118,126,0.968858131,11.07070907,2.031764706,39.58823529,-0.037559623,0.093988241,2320.882353,6.070588235,6.895,0.022629758
Hf1 Ta0.5 Ti1 Zr1,1100,5.857142857,0.134285714,8,127.7142857,1.142857143,11.23873213,2.018571429,40.42857143,-0.04156458,0.102236262,2348.571429,6.128571429,6.923428571,0.022506122
Hf1 Ta0.6 Ti1 Zr1,1100,5.944444444,0.131666667,7.777777778,129.3333333,1.296296296,11.35751803,2.006111111,41.22222222,-0.045007712,0.108579566,2374.722222,6.183333333,6.950277778,0.022361111
Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,1110,7.748216833,0.193844508,6.160841655,195.0139087,-11.87291336,12.83142893,1.380353067,75.08320257,-0.060116754,0.114775273,1692.690432,4.177828103,7.314456491,0.028867016
Al0.429 Cr0.476 Fe0.476 Ni1,1173,7.539269215,0.179974801,6.118437631,194.5695086,-12.86741371,10.94799007,1.423355733,76.04145317,-0.067965535,0.130799002,1691.799509,4.145451491,7.219839563,0.031168079
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y1,1192,6.571428571,0.454285714,42.57142857,152.5714286,-19.34693878,16.17829698,1.717142857,60.8,-0.09310546,0.208339774,1672.462857,4.155714286,7.006428571,0.107877551
Mo1 Nb1 Ta1 Ti0.25 W1,1197,7.294117647,0.476470588,4.235294118,249.4117647,-6.14532872,12.70766391,1.521764706,93.88235294,-0.119843919,0.254970132,3086.176471,7.671176471,7.369176471,0.263739792
Nb1 Ta1 Ti1 Zr1,1205,5.5,0.1625,10.25,125.25,2.5,11.52565132,1.8525,46,-0.041350612,0.090500945,2527.25,6.7625,7.02775,0.0201375
Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,1223,7.583708839,0.186717504,6.870710572,204.0353553,-8.519081486,12.82401566,1.27589948,78.94103986,-0.050866371,0.091253542,1749.963331,4.186655113,7.421570191,0.022762298
Al0.2 Mo1 Ta1 Ti1 V1,1249,5.857142857,0.457142857,22.38095238,184.047619,-5.66893424,12.56847688,1.783809524,70.3,-0.082230803,0.179582785,2499.212857,6.131428571,7.085761905,0.135088435
Mo1 Nb1 Ta1 V1 W1,1270,7,0.51,6.8,231.8,-4.64,13.3808668,1.322,89,-0.115513576,0.256785759,2962.8,7.34,7.2716,0.23584
Co1 Cr1 Cu1 Fe1 Ni1 Ti1,1272,8,0.246666667,17.33333333,190.8333333,-8.444444444,14.89668823,1.365,73.38333333,-0.047742221,0.102387451,1797.628333,4.258333333,7.457333333,0.038511111
Al0.75 Mo1 Nb1 Ti1 V1,1300,4.684210526,0.446842105,19.78947368,153.7894737,-11.12465374,13.33206521,1.873157895,58.67894737,-0.129437188,0.317480034,2204.232105,5.698947368,6.720315789,0.108359003
Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,1312,7.5,0.1975,17.125,183.875,-8.125,17.28847698,1.2675,66.5375,-0.060929267,0.131994762,1810.97125,4.2225,7.3655,0.0441875
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.6,1314.5,6.352941176,0.39254902,18.82352941,194.9215686,-17.62399077,14.61013631,1.696666667,75.62745098,-0.095622142,0.192282372,1816.680392,4.411764706,7.047313725,0.066139946
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.8,1325,6.676470588,0.467647059,43.82352941,155.1764706,-18.99653979,16.15555524,1.712647059,61.38235294,-0.093414062,0.207266972,1668.741176,4.146764706,7.029647059,0.098553633
Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,1326,6.975253093,0.205264342,18.07536558,139.5066367,-19.95242399,13.29916293,1.948389201,52.98013498,-0.068454905,0.147856573,1535.580772,4.075259843,7.141734083,0.049777284
Al0.5 Cr0.5 Fe0.5 Ni1,1357,7.4,0.174,6,192,-13.44,11.07573654,1.46,75.06,-0.072381545,0.142799767,1676.094,4.124,7.187,0.031808
Al1 Mo1 Nb1 Ti1 V1,1400,4.6,0.452,18.8,149.6,-12.8,13.3808668,1.93,57.06,-0.132415111,0.334258808,2140.694,5.582,6.6836,0.103952
Co1 Cr1 Mo1 Nb1,1419.6,6.5,0.335,11.5,230.5,-11.75,11.52565132,1.165,87,-0.071229313,0.145924164,2398.5,5.72,7.1265,0.09655
Al0.515 Cr0.515 Fe1 Ni1,1437,7.47029703,0.180115512,6.320132013,194.9620462,-11.22645928,11.09203054,1.397343234,76.16155116,-0.062655544,0.118989557,1697.173944,4.145841584,7.296962046,0.027319775
Mo1 Nb1 Ta1 Ti1 Zr1,1450,5.6,0.534,12.4,166,-1.76,13.3808668,1.76,60.8,-0.114403796,0.278458276,2601,6.774,7.042,0.158688
Mo1 Ta1 Ti1 V1,1454,6,0.4525,7.5,189.75,-2.75,11.52565132,1.7225,72.5,-0.069458322,0.157954816,2577.5,6.27,7.14075,0.1409375
Al0.667 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,1461,7.153686397,0.187687781,18.03888312,175.1113419,-11.46884557,18.21338218,1.401600323,63.4408792,-0.077008395,0.162596903,1743.440001,4.156123226,7.259335641,0.043096449
Hf1 Nb1 Ti1 V1 Zr1,1463,5.2,0.18,15.2,117.4,0.16,13.3808668,1.7,40.4,-0.026252813,0.056023919,2301.6,6.056,6.7584,0.03816
Hf1 Ta1 Ti1 Zr1,1500,6.25,0.1225,7,135,1.75,11.52565132,1.9625,44,-0.054466295,0.121642562,2466.25,6.375,7.04425,0.0216375
Al0.25 Mo1 Nb1 Ti1 V1,1500,4.882352941,0.434705882,22.11764706,163.6470588,-6.256055363,12.70766391,1.739411765,62.48823529,-0.117097863,0.277584966,2353.733529,5.974117647,6.806705882,0.118308651
Al1 Cr1 Fe1 Mo0.8 Ni1,1513,6.625,0.339583333,12.5,213.1666667,-11.14583333,13.35067532,1.510833333,82.35416667,-0.084797534,0.165324949,1868.597917,4.5075,7.077958333,0.070991319
Mo1 Nb1 Ta1 Ti0.5 W1,1578,7.111111111,0.495555556,4,242,-5.827160494,13.14521344,1.605555556,91.11111111,-0.126577722,0.271403926,3022.555556,7.514444444,7.339111111,0.261471605
Mo1 Nb1 Ta1 Ti0.75 W1,1593,6.947368421,0.512631579,4.210526316,235.3684211,-5.540166205,13.33206521,1.680526316,88.63157895,-0.130876576,0.285794483,2965.631579,7.374210526,7.312210526,0.258207202
Al0.5 Co1 Cr1 Fe1 Ni1 Ti1,1600,7,0.21,18.09090909,190.9090909,-19.57024793,14.69716888,1.580909091,73.66363636,-0.06541529,0.126890443,1799.042727,4.316363636,7.274727273,0.040327273
Hf1 Nb1 Si0.5 Ti1 V1,1608,5.333333333,0.34,31.55555556,121.4444444,-24.19753086,13.14521344,2.06,42.77777778,-0.02300606,0.048426379,2271.888889,5.792222222,6.940777778,0.0588
Co1 Cr1 Mo1 Nb1 Ti0.5,1609.2,6.222222222,0.366666667,11.11111111,217.7777778,-12.9382716,13.14521344,1.372222222,82.22222222,-0.085488572,0.172235208,2347.666667,5.623333333,7.093333333,0.101866667
Al1 Cu1 Fe1 Ni1 Ti1,1617,7.2,0.218,18.4,145.4,-17.6,13.3808668,1.85,55.32,-0.068211747,0.141101611,1554.248,4.084,7.2164,0.047152
Hf1 Nb1 Si0.5 Ti1 V1 Zr1,1643,5.090909091,0.381818182,34.72727273,116.4545455,-21.75206612,14.69716888,1.956363636,41,-0.024332646,0.051592667,2245.727273,5.926363636,6.885,0.063847934
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,1650,8.363636364,0.269090909,18.90909091,197.6363636,-3.702479339,14.69716888,1.213636364,76.05454545,-0.042993396,0.089184254,1784.594545,4.204545455,7.514545455,0.029943802
Nb1 Ta1 V1 W1,1700,7.25,0.5875,7.25,207.5,-4.5,11.52565132,1.305,81.25,-0.138150538,0.33964497,2979.5,7.47,7.31475,0.2347375
Hf1 Mo1 Ta1 Ti1 Zr1,1743,6.2,0.594,11.2,173.8,-1.92,13.3808668,1.848,59.2,-0.130470824,0.317453433,2552.2,6.464,7.0552,0.193728
Co1 Cr1 Mo1 Nb1 Ti0.4,1771.3,6.272727273,0.360909091,11.36363636,220.0909091,-12.76859504,13.01060935,1.334545455,83.09090909,-0.083487174,0.167567238,2356.909091,5.640909091,7.099363636,0.101198347
Hf1 Nb1 Ta1 Zr1,1800,6.5,0.1675,7.25,132.25,3.5,11.52565132,1.535,42.5,-0.059035585,0.134117647,2668.5,7.055,7.027,0.0303375
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,1800,6,0.588333333,10.5,162.3333333,-0.888888889,14.89668823,1.76,55.66666667,-0.125999635,0.319337373,2585.166667,6.648333333,7.005833333,0.161761111
Al0.5 Mo1 Nb1 Ti1 V1,1800,4.777777778,0.441111111,20.88888889,158.4444444,-8.987654321,13.14521344,1.81,60.47777778,-0.12462515,0.298670007,2274.83,5.828888889,6.761111111,0.113130864
Nb1 Ta1 Ti1 V1 W1,1800,6.6,0.634,8.4,189.2,-3.68,13.3808668,1.65,73.8,-0.141856082,0.370105977,2771.8,6.946,7.2174,0.205088
Hf1 Mo1 Nb1 Ti1 Zr1,1803,5.4,0.574,11.2,157.6,-1.6,13.3808668,1.798,53,-0.15040193,0.40754717,2444.2,6.358,6.829,0.191648
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,1848,8.137931034,0.255172414,17.93103448,193.4137931,-6.753864447,14.87072252,1.307586207,74.39655172,-0.04617226,0.097488225,1792.684483,4.237931034,7.479034483,0.035498216
Al1 Hf1 Nb1 Ta1 Ti1 Zr1,1900,5.5,0.18,28,119.1666667,-14.77777778,14.89668823,2.03,40.05,-0.053569884,0.124446502,2258.078333,6.071666667,6.820333333,0.030066667
Hf0.5 Mo0.5 Nb1 Si0.5 Ti1 Zr1,1900,4.888888889,0.571111111,35.11111111,134.4444444,-26.07407407,14.42584136,2.15,47.44444444,-0.099301979,0.305458813,2303,6.152222222,6.946333333,0.143441975
Hf0.5 Mo0.5 Nb1 Si0.7 Ti1 Zr1,1900,4.85106383,0.55787234,33.61702128,133.2765957,-33.39067451,14.53422246,2.250851064,47.42553191,-0.095156718,0.292697448,2276.787234,6.087446809,6.997595745,0.145224989
Co1 Cr1 Mo1 Nb1 Ti0.2,1905.6,6.380952381,0.348571429,11.9047619,225.047619,-12.33560091,12.56847688,1.253809524,84.95238095,-0.07834889,0.157374847,2376.714286,5.678571429,7.112285714,0.099319728
Hf0.5 Mo0.5 Nb1 Si0.3 Ti1 Zr1,1950,4.930232558,0.585581395,36.74418605,135.7209302,-17.22011898,14.16547754,2.039767442,47.46511628,-0.103822762,0.319383553,2331.651163,6.223023256,6.890302326,0.140691184
C0.3 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,1965,4.930232558,0.930232558,74.88372093,201.5116279,-28.57760952,14.16547754,1.997906977,56.04651163,-0.172453295,0.53910401,2487.093023,6.414186047,7.107209302,0.25459059
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,1970,8,0.255909091,19.36363636,194.9090909,-7.280991736,15.54721513,1.305,75.05454545,-0.054865029,0.105158458,1765.308182,4.198636364,7.435454545,0.032448347
Hf0.5 Mo0.5 Nb1 Si0.9 Ti1 Zr1,2000,4.816326531,0.545714286,32.24489796,132.2040816,-39.45022907,14.54988032,2.343469388,47.40816327,-0.091342267,0.280959519,2252.714286,6.027959184,7.044673469,0.146244898
Al0.25 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,2016,7.363636364,0.193636364,17.48484848,180.4242424,-9.520661157,17.89357471,1.32030303,65.31818182,-0.067896304,0.143969231,1784.380303,4.196363636,7.32369697,0.043803857
Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,2016,5.511627907,0.554186047,33.60465116,145.4883721,-16.36560303,14.16547754,2.00255814,49.90697674,-0.096756378,0.285448382,2382,6.021860465,6.925534884,0.129164954
Co1 Cr1 Fe1 Ni1 Ti1,2020,7.4,0.224,17,203,-16.32,13.3808668,1.438,78.4,-0.039585711,0.083077364,1885.6,4.412,7.4036,0.040048
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,2050,5.608695652,0.174347826,29.2173913,121.3043478,-11.55387524,14.85482004,1.987391304,40.64782609,-0.052843706,0.120874148,2315.67,6.189565217,6.856608696,0.029840454
Mo1 Nb1 Ti1 V1,2050,5,0.4275,7.5,169.5,-2.75,11.52565132,1.66,64.75,-0.105478564,0.253946721,2442.5,6.1375,6.858,0.1239375
Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,2052,5.444444444,0.541111111,32.11111111,143.7777778,-24.44444444,14.42584136,2.114444444,49.77777778,-0.092914262,0.274324378,2351.111111,5.96,6.98,0.130775309
Al0.667 C1 Co0.667 Cr0.667 Fe0.667 Ni0.667,2083,6.461822376,0.593914648,41.69711649,391.3086505,-39.66160537,14.78453061,2.007471742,96.80694348,-0.116702952,0.237434955,2198.720528,4.865095732,8.163642907,0.233900654
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.667,2110,6.385005767,0.188475202,19.76816609,172.3194925,-22.72060451,14.78453061,1.800629758,66.38154556,-0.091680827,0.198470812,1665.962168,4.169324106,7.076587313,0.039227322
Cr1 Hf1 Nb1 Ti1 Zr1,2130,5.4,0.186,20,147.6,-4,13.3808668,1.704,52,-0.140257346,0.375295858,2301,5.814,6.7626,0.042048
Mo1 Nb1 Ta1 Ti1 V1 W1,2135,6.5,0.561666667,7.833333333,212.5,-4.222222222,14.89668823,1.606666667,81.5,-0.128518751,0.297527193,2792.5,6.925,7.197666667,0.223227778
C0.1 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,2139,4.975609756,0.975609756,78.53658537,160.1219512,-10.63652588,13.60343226,1.904146341,50.48780488,-0.136089277,0.436133865,2417.439024,6.367560976,6.904634146,0.178468769
Hf0.5 Mo0.5 Nb1 Si0.1 Ti1 Zr1,2150,4.975609756,0.601463415,38.53658537,137.1219512,-6.472337894,13.60343226,1.918780488,47.48780488,-0.108772153,0.334638332,2363.097561,6.300731707,6.828804878,0.136707912
Al1 C1 Co1 Cr1 Fe1 Ni1,2166,6.666666667,0.643333333,45.16666667,336.5,-33.88888889,14.89668823,1.848333333,90.71666667,-0.109813638,0.234210041,2055.911667,4.656666667,7.906,0.189777778
Al1 Co1 Cr1 Fe1 Ni1 Si0.2,2173,7.076923077,0.172692308,12.69230769,190.4615385,-16.39053254,14.22159654,1.552692308,73.78846154,-0.07470792,0.147314358,1684.205769,4.133846154,7.270423077,0.029054734
Al1 C0.3 Co1 Cr1 Fe1 Ni1,2178,7.018867925,0.728301887,51.13207547,242.2641509,-20.70487718,14.43190865,1.574716981,80.24528302,-0.088412863,0.19290054,1810.371698,4.298301887,7.463018868,0.091077252
Al1 Co1 Cr1 Fe1 Ni1 Si0.6,2195,6.857142857,0.181071429,11.78571429,184.5,-22.75510204,14.77811766,1.764642857,71.875,-0.077092662,0.153385774,1684.405357,4.169285714,7.333321429,0.028804847
Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,2242,5.382978723,0.529148936,30.74468085,142.212766,-31.11815301,14.53422246,2.216808511,49.65957447,-0.089349378,0.264030328,2322.851064,5.903404255,7.029829787,0.131649615
